,Group,count,Latitude,Longitude,Count_Taxi,dates_count
0,0,4617,13.879799983972276,99.80337015356292,10,500
1,1,3029,14.843454626939584,99.75849625,10,618
2,-1,1123,14.041992348174533,100.29674119501335,10,326
3,2,351,13.861482301994302,99.83901815384614,8,57
4,32,278,14.529182075539568,99.91113360071942,9,106
5,9,213,13.747511746478873,100.76259611267605,7,35
6,8,209,13.70663819138756,100.57561392344498,8,64
7,53,201,13.809648049751244,99.91629490547264,1,19
8,15,176,15.64016063,99.67032369318181,7,53
9,10,169,13.620662999999999,100.54210834911244,6,36
10,24,157,14.428334337579617,100.14632624840765,7,67
11,11,157,14.146795656050955,100.2906243312102,8,59
12,46,143,13.964871356643357,99.72688723076924,1,18
13,30,127,13.604221732283465,100.56791677952756,8,37
14,13,126,13.935164841269842,100.41616676190476,8,37
15,27,120,13.109993491666668,100.9739221,7,26
16,7,119,13.633334386554623,100.73866446218487,9,48
17,20,116,13.83645203448276,99.86125942,7,37
18,4,114,13.652885263157895,100.5637898245614,8,36
19,39,108,13.959738425925925,100.4029962685185,8,47
20,6,106,14.028596311320754,100.35303065094338,8,35
21,31,103,14.835344864077669,99.69593028155339,6,46
22,29,80,13.729876999999998,100.80580992499999,6,21
23,41,74,13.568641608108107,100.76750282432432,7,21
24,54,68,13.769946411764707,100.08798723529412,1,14
25,56,65,13.67778883076923,99.86667551,3,12
26,25,63,13.565189476190476,100.96084482539682,3,6
27,14,58,14.450906999999999,100.09861886206896,5,25
28,23,57,14.180028824561404,100.6477099122807,3,9
29,49,54,14.44268174074074,100.13238855555555,4,21
30,51,50,14.54640028,100.13180243999999,4,13
31,44,47,13.59611104255319,100.79481712765958,5,12
32,19,46,13.644220695652173,100.7691647826087,6,15
33,43,44,14.330277204545455,100.21030711363636,3,12
34,22,43,13.092627906976743,101.0512993255814,3,8
35,50,43,14.320966627906976,100.21995874418604,5,20
36,48,41,13.51116295121951,100.14455119512196,4,5
37,5,41,14.086292146341462,100.30950868292683,4,21
38,42,38,13.767195526315788,100.18892000000001,6,9
39,36,37,13.771032135135135,100.20246475675675,5,15
40,12,36,13.648394861111111,100.54091683333334,5,13
41,47,35,14.206957571428571,100.46787942857142,2,5
42,37,34,14.839209147058824,101.06978567647059,4,9
43,18,33,13.825821545454545,99.88600581818181,8,11
44,52,32,14.62287538,100.150609,6,13
45,16,31,14.641987548387096,99.87148825806452,4,20
46,58,30,14.085108766666668,99.73596483333334,1,1
47,28,30,14.7483966,100.0989161,4,12
48,3,30,13.937729533333334,99.75727646666665,3,13
49,38,29,14.497565931034483,100.04545868965518,5,12
50,35,29,13.13250148275862,100.98744031034482,4,9
51,34,29,14.648493793103448,100.14468272413794,4,9
52,55,28,15.5948455,99.67285271428571,1,7
53,21,27,15.578984148148148,99.86135981481482,4,10
54,17,27,14.499130259259259,100.02473274074073,4,10
55,57,27,13.32017948148148,100.99108314814815,2,6
56,59,26,13.092686346153847,100.94155611538461,1,4
57,45,23,13.802652652173913,99.99899095652174,1,2
58,33,23,14.55937847826087,100.14044334782608,6,13
59,40,22,13.592673681818182,100.81514172727272,3,6
60,26,21,13.305040523809524,101.36331990476191,3,3
