,load_id,pickup_time,start_lat,start_lng,end_lat,end_lng,distance_km,duration_hours,fuel_used_liters,total_fuel_cost,carbon_emission_kg,error
0,SO310821IZ8WN,2021-09-02 14:29:00,13.611112,100.433906,13.813137,99.888636,75.7,1.0,30.3,36.3,81.1,
1,SO3108215CPGO,2021-09-02 14:29:04,13.611112,100.433906,13.813137,99.888636,75.7,1.0,30.3,36.3,81.1,
2,SO260821UAYM6,2021-09-02 14:29:11,16.487862,102.428327,17.294655,102.863397,148.3,1.8,59.3,71.2,158.9,
3,SO2508216IK2G,2021-09-02 14:29:19,13.611112,100.433906,16.487862,102.428327,453.3,5.8,181.3,217.6,485.9,
4,SO300821J9Z3L,2021-09-02 14:32:44,14.861583,100.359041,13.750882,100.409278,154.7,2.0,61.9,74.3,165.8,
5,SO300821Y5DYQ,2021-09-02 14:34:20,14.861583,100.359041,13.879873,100.36858,142.9,1.9,57.2,68.6,153.2,
6,SO300821UNGSP,2021-09-02 14:37:41,16.487862,102.428327,17.47471,103.452606,232.7,2.8,93.1,111.7,249.5,
7,SO280821LY9MV,2021-09-03 10:39:38,16.487862,102.428327,13.605661,100.56817,452.5,5.8,181.0,217.2,485.0,
8,SO010921MJIGL,2021-09-03 10:39:47,13.651485,100.552199,16.547352,102.095508,450.3,5.5,180.1,216.2,482.7,
9,SO250821HGVQ5,2021-09-03 12:21:53,13.611112,100.433906,16.463837,104.037388,601.1,7.4,240.4,288.5,644.4,
10,SO010921KRBCU,2021-09-04 15:02:33,13.651485,100.552199,16.547352,102.095508,450.3,5.5,180.1,216.2,482.7,
11,SO030921PDFWX002,2021-09-04 15:07:40,16.487862,102.428327,15.118601,104.32201,307.3,4.6,122.9,147.5,329.4,
12,SO010921H4UOT,2021-09-04 15:13:47,13.641697,100.532004,16.547352,102.095508,451.7,5.5,180.7,216.8,484.2,
13,SO070921CJIYB003,2021-09-08 01:48:13,14.861583,100.359041,13.750882,100.409278,154.7,2.0,61.9,74.3,165.8,
14,SO060921DJMJF002,2021-09-08 01:53:01,16.487862,102.428327,15.228686,104.856422,333.7,4.3,133.5,160.2,357.7,
15,SO040921FDQAI001,2021-09-08 01:53:07,13.565164,100.268494,16.433377,103.529494,557.2,6.8,222.9,267.5,597.4,
16,SO070921LCTQQ004,2021-09-08 07:43:34,14.861583,100.359041,13.750882,100.409278,154.7,2.0,61.9,74.3,165.8,
17,SO060921SNPWU004,2021-09-08 07:44:46,13.611112,100.433906,16.756605,102.63272,524.0,6.5,209.6,251.5,561.7,
18,SO060921EBWIH003,2021-09-08 10:57:46,13.513915,100.154189,15.841852,102.021708,389.8,4.7,155.9,187.1,417.9,
19,SO080921GIVRI002,2021-09-08 13:42:31,14.861583,100.359041,13.872351,100.384274,143.4,1.9,57.4,68.8,153.7,
20,SO310821JKRUM,2021-09-08 13:43:58,13.651485,100.552199,16.426408,102.833461,455.3,5.5,182.1,218.6,488.1,
21,SO070921ICFRS007,2021-09-08 13:44:06,14.861583,100.359041,13.750882,100.409278,154.7,2.0,61.9,74.3,165.8,
22,SO040921HUWKU004,2021-09-08 13:44:09,13.598102,100.574637,13.769119,100.302654,48.9,0.7,19.5,23.5,52.4,
23,SO040921HOPCM006,2021-09-10 02:33:32,16.48359,102.121275,13.010436,101.190983,515.9,6.3,206.4,247.6,553.1,
24,SO080921YLNUH005,2021-09-10 02:33:41,13.598102,100.574637,13.701083,100.310942,40.4,0.6,16.2,19.4,43.3,
25,SO080921ZIJFG001,2021-09-10 02:34:18,13.543468,100.242039,16.397758,102.781717,485.6,5.8,194.2,233.1,520.5,
26,SO090921GCWWH001,2021-09-11 01:52:42,13.686191,100.526343,13.605661,100.56817,18.4,0.4,7.4,8.8,19.7,
27,SO090921BSUTM002,2021-09-11 01:52:44,13.686191,100.526343,13.605661,100.56817,18.4,0.4,7.4,8.8,19.7,
28,SO090921ZPUZN003,2021-09-11 01:52:46,13.686191,100.526343,13.605661,100.56817,18.4,0.4,7.4,8.8,19.7,
29,SO100921SBNKI004,2021-09-11 01:56:24,14.861583,100.359041,14.017514,100.655706,117.9,1.6,47.2,56.6,126.4,
30,SO080921LJXOJ004,2021-09-11 01:57:19,13.565164,100.268494,15.798742,104.149945,617.7,7.4,247.1,296.5,662.2,
31,SO090921ATTWD008,2021-09-11 01:57:26,13.370009,100.989154,17.146228,104.118432,668.3,8.7,267.3,320.8,716.4,
32,SO050921YAGFR003,2021-09-11 02:09:02,16.487862,102.428327,13.599096,100.599832,454.0,5.7,181.6,217.9,486.7,
