,Group,count,Latitude,Longitude,Count_Taxi,dates_count
0,-1,6270,15.03644475,101.4454272,45,1674
1,7,4423,13.53202602,100.7399557,10,573
2,60,2719,16.56465607,101.8791076,1,177
3,52,2265,16.47231797,102.2275678,3,244
4,34,2231,16.47995243,102.1226463,13,552
5,37,1870,15.3004998,103.2470609,14,272
6,58,1824,16.48055549,102.3967306,1,112
7,57,1799,16.46814622,104.0433934,14,252
8,8,1778,16.29388728,102.7885943,19,239
9,28,1621,17.79938402,102.7612106,8,154
10,51,1512,14.05265315,100.5261099,11,117
11,1,1347,13.58051232,100.7821731,12,428
12,76,1265,17.23109497,102.9472852,1,69
13,3,1135,14.52325785,99.60490354,1,68
14,12,1080,13.73642811,100.7678506,10,90
15,33,1065,17.19131587,101.8272937,12,317
16,24,1035,13.66685966,100.6263579,4,52
17,29,893,17.89280999,102.7776398,9,138
18,44,600,15.8820015,101.0255474,8,102
19,75,576,15.64830502,103.0074305,1,26
20,61,573,17.57857679,103.7764942,1,31
21,66,552,17.07519314,102.9273437,6,102
22,72,517,16.39839275,102.1275656,1,34
23,40,484,15.23883285,105.1529385,9,132
24,2,477,13.5651848,100.953324,12,165
25,5,458,13.42448053,101.0419981,10,168
26,30,456,17.28709837,102.2547485,13,162
27,69,418,15.83417417,104.4765963,7,73
28,77,407,17.03677091,102.3375233,1,37
29,26,406,14.21604039,100.6869631,8,82
30,74,391,15.12158732,101.1230057,1,26
31,63,385,16.75050886,102.3930064,2,39
32,31,376,17.92103414,102.8111889,8,124
33,27,374,14.78277781,99.7427326,5,155
34,50,371,13.96031193,101.5694264,3,34
35,13,364,14.19023901,100.6515665,10,104
36,84,361,13.69546643,100.6748394,1,21
37,79,359,16.29525871,103.9749571,2,19
38,46,350,15.22002111,100.7972708,8,70
39,54,294,16.09422934,101.8691507,9,94
40,15,275,13.58428968,101.341379,7,64
41,59,255,13.94815298,100.5018931,7,47
42,70,231,16.60009808,104.6940259,6,37
43,47,226,16.11307508,101.074762,1,9
44,9,222,13.60763864,100.8036747,10,65
45,36,213,15.46446421,101.1091551,10,35
46,78,201,14.94031289,102.8671871,1,48
47,35,190,16.73605346,102.8184319,7,54
48,22,167,16.3287613,102.8462129,10,38
49,42,167,15.18986371,104.8172221,6,32
50,0,163,14.84396585,99.76109062,12,79
51,81,158,13.67266956,100.7222931,2,27
52,6,151,14.06034676,100.7427482,11,61
53,83,144,13.65303526,100.9905585,1,7
54,21,135,14.0738465,100.6953219,11,42
55,56,135,16.48829395,102.4259581,9,87
56,4,132,14.53546955,99.58270702,1,24
57,11,121,14.43001263,100.5451063,10,88
58,45,120,15.32234681,103.2853487,8,36
59,53,117,16.84809858,101.9408858,4,41
60,16,115,16.3446216,102.8022877,10,40
61,55,114,16.61816376,101.9890237,7,32
62,23,111,13.53248684,100.6982064,3,9
63,73,110,16.4083745,102.1020258,1,85
64,64,104,16.88085341,102.6130899,3,24
65,62,101,17.63934275,102.4377385,4,30
66,48,98,15.73006758,102.2879066,7,28
67,49,94,13.07044041,100.9019509,8,22
68,39,92,15.40803326,101.5013099,1,6
69,65,90,17.74323108,102.6696853,5,33
70,17,89,14.41858127,100.566717,9,33
71,41,85,14.49766436,102.1704637,6,29
72,19,84,16.40308829,102.8796487,9,31
73,14,83,14.0747154,100.5008342,9,42
74,25,81,14.21189377,100.6664544,10,34
75,68,79,17.37150935,104.0974054,5,19
76,71,78,14.91072926,101.9292569,10,27
77,18,77,13.53985168,100.9609406,3,16
78,32,77,17.08853381,101.8656464,6,30
79,67,69,15.96577409,104.0242438,7,26
80,38,61,14.92611074,101.6358088,4,24
81,43,56,15.25153841,102.4153641,8,19
82,10,55,14.88054362,101.8559953,6,16
83,80,53,15.41608492,101.6558207,6,18
84,82,52,16.27019281,102.7808631,7,19
85,20,51,14.84092722,101.6043056,8,16
